V1	I(R1)
Step Information: Rap=1  (Step: 1/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=2  (Step: 2/10)
-5.000000000000000e+00	-2.500000e+00
-4.000000000000000e+00	-2.000000e+00
-3.000000000000000e+00	-1.500000e+00
-2.000000000000000e+00	-1.000000e+00
-1.000000000000000e+00	-5.000000e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	5.000000e-01
2.000000000000000e+00	1.000000e+00
3.000000000000000e+00	1.500000e+00
4.000000000000000e+00	2.000000e+00
5.000000000000000e+00	2.500000e+00
Step Information: Rap=3  (Step: 3/10)
-5.000000000000000e+00	-1.666667e+00
-4.000000000000000e+00	-1.333333e+00
-3.000000000000000e+00	-1.000000e+00
-2.000000000000000e+00	-6.666667e-01
-1.000000000000000e+00	-3.333333e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	3.333333e-01
2.000000000000000e+00	6.666667e-01
3.000000000000000e+00	1.000000e+00
4.000000000000000e+00	1.333333e+00
5.000000000000000e+00	1.666667e+00
Step Information: Rap=4  (Step: 4/10)
-5.000000000000000e+00	-1.250000e+00
-4.000000000000000e+00	-1.000000e+00
-3.000000000000000e+00	-7.500000e-01
-2.000000000000000e+00	-5.000000e-01
-1.000000000000000e+00	-2.500000e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	2.500000e-01
2.000000000000000e+00	5.000000e-01
3.000000000000000e+00	7.500000e-01
4.000000000000000e+00	1.000000e+00
5.000000000000000e+00	1.250000e+00
Step Information: Rap=5  (Step: 5/10)
-5.000000000000000e+00	-1.000000e+00
-4.000000000000000e+00	-8.000000e-01
-3.000000000000000e+00	-6.000000e-01
-2.000000000000000e+00	-4.000000e-01
-1.000000000000000e+00	-2.000000e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	2.000000e-01
2.000000000000000e+00	4.000000e-01
3.000000000000000e+00	6.000000e-01
4.000000000000000e+00	8.000000e-01
5.000000000000000e+00	1.000000e+00
Step Information: Rap=6  (Step: 6/10)
-5.000000000000000e+00	-8.333333e-01
-4.000000000000000e+00	-6.666667e-01
-3.000000000000000e+00	-5.000000e-01
-2.000000000000000e+00	-3.333333e-01
-1.000000000000000e+00	-1.666667e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.666667e-01
2.000000000000000e+00	3.333333e-01
3.000000000000000e+00	5.000000e-01
4.000000000000000e+00	6.666667e-01
5.000000000000000e+00	8.333333e-01
Step Information: Rap=7  (Step: 7/10)
-5.000000000000000e+00	-7.142857e-01
-4.000000000000000e+00	-5.714286e-01
-3.000000000000000e+00	-4.285714e-01
-2.000000000000000e+00	-2.857143e-01
-1.000000000000000e+00	-1.428571e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.428571e-01
2.000000000000000e+00	2.857143e-01
3.000000000000000e+00	4.285714e-01
4.000000000000000e+00	5.714286e-01
5.000000000000000e+00	7.142857e-01
Step Information: Rap=8  (Step: 8/10)
-5.000000000000000e+00	-6.250000e-01
-4.000000000000000e+00	-5.000000e-01
-3.000000000000000e+00	-3.750000e-01
-2.000000000000000e+00	-2.500000e-01
-1.000000000000000e+00	-1.250000e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.250000e-01
2.000000000000000e+00	2.500000e-01
3.000000000000000e+00	3.750000e-01
4.000000000000000e+00	5.000000e-01
5.000000000000000e+00	6.250000e-01
Step Information: Rap=9  (Step: 9/10)
-5.000000000000000e+00	-5.555556e-01
-4.000000000000000e+00	-4.444444e-01
-3.000000000000000e+00	-3.333333e-01
-2.000000000000000e+00	-2.222222e-01
-1.000000000000000e+00	-1.111111e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.111111e-01
2.000000000000000e+00	2.222222e-01
3.000000000000000e+00	3.333333e-01
4.000000000000000e+00	4.444444e-01
5.000000000000000e+00	5.555556e-01
Step Information: Rap=10  (Step: 10/10)
-5.000000000000000e+00	-5.000000e-01
-4.000000000000000e+00	-4.000000e-01
-3.000000000000000e+00	-3.000000e-01
-2.000000000000000e+00	-2.000000e-01
-1.000000000000000e+00	-1.000000e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e-01
2.000000000000000e+00	2.000000e-01
3.000000000000000e+00	3.000000e-01
4.000000000000000e+00	4.000000e-01
5.000000000000000e+00	5.000000e-01
