V1	V(n002)
Step Information: Rap=1  (Step: 1/10)
-5.000000000000000e+00	-4.129531e+00
-4.000000000000000e+00	-3.136630e+00
-3.000000000000000e+00	-2.146319e+00
-2.000000000000000e+00	-1.162313e+00
-1.000000000000000e+00	-2.068985e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=2  (Step: 2/10)
-5.000000000000000e+00	-4.147348e+00
-4.000000000000000e+00	-3.154412e+00
-3.000000000000000e+00	-2.164038e+00
-2.000000000000000e+00	-1.179854e+00
-1.000000000000000e+00	-2.229149e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	2.020000e-12
2.000000000000000e+00	4.020000e-12
3.000000000000000e+00	6.020000e-12
4.000000000000000e+00	8.020000e-12
5.000000000000000e+00	1.002000e-11
Step Information: Rap=3  (Step: 3/10)
-5.000000000000000e+00	-4.157771e+00
-4.000000000000000e+00	-3.164814e+00
-3.000000000000000e+00	-2.174403e+00
-2.000000000000000e+00	-1.190118e+00
-1.000000000000000e+00	-2.323389e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	3.030000e-12
2.000000000000000e+00	6.030000e-12
3.000000000000000e+00	9.030000e-12
4.000000000000000e+00	1.203000e-11
5.000000000000000e+00	1.503000e-11
Step Information: Rap=4  (Step: 4/10)
-5.000000000000000e+00	-4.165166e+00
-4.000000000000000e+00	-3.172195e+00
-3.000000000000000e+00	-2.181758e+00
-2.000000000000000e+00	-1.197401e+00
-1.000000000000000e+00	-2.390480e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	4.040000e-12
2.000000000000000e+00	8.040000e-12
3.000000000000000e+00	1.204000e-11
4.000000000000000e+00	1.604000e-11
5.000000000000000e+00	2.004000e-11
Step Information: Rap=5  (Step: 5/10)
-5.000000000000000e+00	-4.170902e+00
-4.000000000000000e+00	-3.177920e+00
-3.000000000000000e+00	-2.187463e+00
-2.000000000000000e+00	-1.203051e+00
-1.000000000000000e+00	-2.442645e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	5.050000e-12
2.000000000000000e+00	1.005000e-11
3.000000000000000e+00	1.505000e-11
4.000000000000000e+00	2.005000e-11
5.000000000000000e+00	2.505000e-11
Step Information: Rap=6  (Step: 6/10)
-5.000000000000000e+00	-4.175589e+00
-4.000000000000000e+00	-3.182598e+00
-3.000000000000000e+00	-2.192125e+00
-2.000000000000000e+00	-1.207668e+00
-1.000000000000000e+00	-2.485344e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	6.060000e-12
2.000000000000000e+00	1.206000e-11
3.000000000000000e+00	1.806000e-11
4.000000000000000e+00	2.406000e-11
5.000000000000000e+00	3.006000e-11
Step Information: Rap=7  (Step: 7/10)
-5.000000000000000e+00	-4.179551e+00
-4.000000000000000e+00	-3.186553e+00
-3.000000000000000e+00	-2.196066e+00
-2.000000000000000e+00	-1.211572e+00
-1.000000000000000e+00	-2.521498e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	7.070000e-12
2.000000000000000e+00	1.407000e-11
3.000000000000000e+00	2.107000e-11
4.000000000000000e+00	2.807000e-11
5.000000000000000e+00	3.507000e-11
Step Information: Rap=8  (Step: 8/10)
-5.000000000000000e+00	-4.182984e+00
-4.000000000000000e+00	-3.189979e+00
-3.000000000000000e+00	-2.199480e+00
-2.000000000000000e+00	-1.214953e+00
-1.000000000000000e+00	-2.552854e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	8.080000e-12
2.000000000000000e+00	1.608000e-11
3.000000000000000e+00	2.408000e-11
4.000000000000000e+00	3.208000e-11
5.000000000000000e+00	4.008000e-11
Step Information: Rap=9  (Step: 9/10)
-5.000000000000000e+00	-4.186011e+00
-4.000000000000000e+00	-3.193001e+00
-3.000000000000000e+00	-2.202492e+00
-2.000000000000000e+00	-1.217937e+00
-1.000000000000000e+00	-2.580541e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	9.090000e-12
2.000000000000000e+00	1.809000e-11
3.000000000000000e+00	2.709000e-11
4.000000000000000e+00	3.609000e-11
5.000000000000000e+00	4.509000e-11
Step Information: Rap=10  (Step: 10/10)
-5.000000000000000e+00	-4.188720e+00
-4.000000000000000e+00	-3.195704e+00
-3.000000000000000e+00	-2.205185e+00
-2.000000000000000e+00	-1.220605e+00
-1.000000000000000e+00	-2.605330e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-11
2.000000000000000e+00	2.010000e-11
3.000000000000000e+00	3.010000e-11
4.000000000000000e+00	4.010000e-11
5.000000000000000e+00	5.010000e-11
