V1	I(R1)
Step Information: Rap=1  (Step: 1/10)
-5.000000000000000e+00	-4.129531e+00
-4.000000000000000e+00	-3.136630e+00
-3.000000000000000e+00	-2.146319e+00
-2.000000000000000e+00	-1.162313e+00
-1.000000000000000e+00	-2.068985e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=2  (Step: 2/10)
-5.000000000000000e+00	-2.073674e+00
-4.000000000000000e+00	-1.577206e+00
-3.000000000000000e+00	-1.082019e+00
-2.000000000000000e+00	-5.899270e-01
-1.000000000000000e+00	-1.114575e-01
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=3  (Step: 3/10)
-5.000000000000000e+00	-1.385924e+00
-4.000000000000000e+00	-1.054938e+00
-3.000000000000000e+00	-7.248011e-01
-2.000000000000000e+00	-3.967059e-01
-1.000000000000000e+00	-7.744629e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=4  (Step: 4/10)
-5.000000000000000e+00	-1.041291e+00
-4.000000000000000e+00	-7.930488e-01
-3.000000000000000e+00	-5.454395e-01
-2.000000000000000e+00	-2.993503e-01
-1.000000000000000e+00	-5.976201e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=5  (Step: 5/10)
-5.000000000000000e+00	-8.341804e-01
-4.000000000000000e+00	-6.355841e-01
-3.000000000000000e+00	-4.374926e-01
-2.000000000000000e+00	-2.406102e-01
-1.000000000000000e+00	-4.885289e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=6  (Step: 6/10)
-5.000000000000000e+00	-6.959314e-01
-4.000000000000000e+00	-5.304330e-01
-3.000000000000000e+00	-3.653541e-01
-2.000000000000000e+00	-2.012780e-01
-1.000000000000000e+00	-4.142239e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=7  (Step: 7/10)
-5.000000000000000e+00	-5.970787e-01
-4.000000000000000e+00	-4.552219e-01
-3.000000000000000e+00	-3.137237e-01
-2.000000000000000e+00	-1.730817e-01
-1.000000000000000e+00	-3.602139e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=8  (Step: 8/10)
-5.000000000000000e+00	-5.228730e-01
-4.000000000000000e+00	-3.987474e-01
-3.000000000000000e+00	-2.749350e-01
-2.000000000000000e+00	-1.518692e-01
-1.000000000000000e+00	-3.191067e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=9  (Step: 9/10)
-5.000000000000000e+00	-4.651124e-01
-4.000000000000000e+00	-3.547779e-01
-3.000000000000000e+00	-2.447213e-01
-2.000000000000000e+00	-1.353263e-01
-1.000000000000000e+00	-2.867268e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
Step Information: Rap=10  (Step: 10/10)
-5.000000000000000e+00	-4.188720e-01
-4.000000000000000e+00	-3.195705e-01
-3.000000000000000e+00	-2.205186e-01
-2.000000000000000e+00	-1.220605e-01
-1.000000000000000e+00	-2.605330e-02
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.010000e-12
2.000000000000000e+00	2.010000e-12
3.000000000000000e+00	3.010000e-12
4.000000000000000e+00	4.010000e-12
5.000000000000000e+00	5.010000e-12
