V1	V(n001)
Step Information: Rap=1  (Step: 1/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=2  (Step: 2/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=3  (Step: 3/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=4  (Step: 4/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=5  (Step: 5/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=6  (Step: 6/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=7  (Step: 7/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=8  (Step: 8/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=9  (Step: 9/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
Step Information: Rap=10  (Step: 10/10)
-5.000000000000000e+00	-5.000000e+00
-4.000000000000000e+00	-4.000000e+00
-3.000000000000000e+00	-3.000000e+00
-2.000000000000000e+00	-2.000000e+00
-1.000000000000000e+00	-1.000000e+00
0.000000000000000e+00	0.000000e+00
1.000000000000000e+00	1.000000e+00
2.000000000000000e+00	2.000000e+00
3.000000000000000e+00	3.000000e+00
4.000000000000000e+00	4.000000e+00
5.000000000000000e+00	5.000000e+00
