V1	I(R1)
Step Information: Rap=1  (Step: 1/11)
-5.000000000000000e+00	7.830003e-11
-4.900000000000000e+00	7.830003e-11
-4.800000000000000e+00	7.830003e-11
-4.700000000000000e+00	7.830003e-11
-4.600000000000000e+00	7.830003e-11
-4.500000000000000e+00	7.830003e-11
-4.400000000000000e+00	7.830003e-11
-4.300000000000000e+00	7.830003e-11
-4.200000000000000e+00	7.830003e-11
-4.100000000000000e+00	7.830003e-11
-4.000000000000000e+00	7.830003e-11
-3.900000000000000e+00	7.830003e-11
-3.800000000000000e+00	7.830003e-11
-3.700000000000000e+00	7.830003e-11
-3.600000000000000e+00	7.830003e-11
-3.500000000000000e+00	7.830003e-11
-3.400000000000000e+00	7.830003e-11
-3.300000000000000e+00	7.830003e-11
-3.200000000000000e+00	7.830003e-11
-3.100000000000000e+00	7.830003e-11
-3.000000000000000e+00	7.830003e-11
-2.900000000000000e+00	7.830003e-11
-2.800000000000000e+00	7.830003e-11
-2.700000000000000e+00	7.830003e-11
-2.600000000000000e+00	7.830003e-11
-2.500000000000000e+00	7.830003e-11
-2.400000000000000e+00	7.830003e-11
-2.300000000000000e+00	7.830003e-11
-2.200000000000000e+00	7.830003e-11
-2.100000000000000e+00	7.830003e-11
-2.000000000000000e+00	7.830003e-11
-1.900000000000000e+00	7.830003e-11
-1.800000000000000e+00	7.830003e-11
-1.700000000000000e+00	7.830003e-11
-1.600000000000000e+00	7.830003e-11
-1.500000000000000e+00	7.830003e-11
-1.400000000000000e+00	7.830003e-11
-1.300000000000000e+00	7.830003e-11
-1.200000000000000e+00	7.830003e-11
-1.100000000000000e+00	7.830003e-11
-1.000000000000000e+00	7.830003e-11
-8.999999999999995e-01	7.830003e-11
-7.999999999999998e-01	7.830003e-11
-7.000000000000002e-01	7.830003e-11
-5.999999999999996e-01	7.830003e-11
-5.000000000000000e-01	7.829998e-11
-3.999999999999995e-01	7.829998e-11
-2.999999999999998e-01	7.829998e-11
-1.999999999999993e-01	7.830001e-11
-9.999999999999964e-02	7.830001e-11
0.000000000000000e+00	7.830000e-11
1.000000000000005e-01	7.830001e-11
2.000000000000002e-01	7.829998e-11
3.000000000000007e-01	7.829998e-11
4.000000000000004e-01	7.830014e-11
5.000000000000000e-01	7.830125e-11
6.000000000000005e-01	7.830914e-11
7.000000000000002e-01	7.836776e-11
8.000000000000007e-01	7.880052e-11
9.000000000000004e-01	8.199852e-11
1.000000000000000e+00	1.056288e-10
1.100000000000001e+00	2.802327e-10
1.200000000000000e+00	1.570375e-09
1.300000000000001e+00	1.110301e-08
1.400000000000000e+00	8.153417e-08
1.500000000000000e+00	6.018327e-07
1.600000000000001e+00	4.443914e-06
1.700000000000000e+00	3.278446e-05
1.800000000000001e+00	2.412183e-04
1.900000000000000e+00	1.761977e-03
2.000000000000000e+00	1.262221e-02
2.100000000000001e+00	8.592674e-02
2.200000000000000e+00	5.160385e-01
