V1	V(Vd)*I(R1)
Step Information: Rap=1  (Step: 1/11)
-5.000000000000000e+00	6.130895e-21
-4.900000000000000e+00	6.130895e-21
-4.800000000000000e+00	6.130895e-21
-4.700000000000000e+00	6.130895e-21
-4.600000000000000e+00	6.130895e-21
-4.500000000000000e+00	6.130895e-21
-4.400000000000000e+00	6.130895e-21
-4.300000000000000e+00	6.130895e-21
-4.200000000000000e+00	6.130895e-21
-4.100000000000000e+00	6.130895e-21
-4.000000000000000e+00	6.130895e-21
-3.900000000000000e+00	6.130895e-21
-3.800000000000000e+00	6.130895e-21
-3.700000000000000e+00	6.130895e-21
-3.600000000000000e+00	6.130895e-21
-3.500000000000000e+00	6.130895e-21
-3.400000000000000e+00	6.130895e-21
-3.300000000000000e+00	6.130895e-21
-3.200000000000000e+00	6.130895e-21
-3.100000000000000e+00	6.130895e-21
-3.000000000000000e+00	6.130895e-21
-2.900000000000000e+00	6.130895e-21
-2.800000000000000e+00	6.130895e-21
-2.700000000000000e+00	6.130895e-21
-2.600000000000000e+00	6.130895e-21
-2.500000000000000e+00	6.130895e-21
-2.400000000000000e+00	6.130895e-21
-2.300000000000000e+00	6.130895e-21
-2.200000000000000e+00	6.130895e-21
-2.100000000000000e+00	6.130895e-21
-2.000000000000000e+00	6.130895e-21
-1.900000000000000e+00	6.130895e-21
-1.800000000000000e+00	6.130895e-21
-1.700000000000000e+00	6.130895e-21
-1.600000000000000e+00	6.130895e-21
-1.500000000000000e+00	6.130895e-21
-1.400000000000000e+00	6.130895e-21
-1.300000000000000e+00	6.130895e-21
-1.200000000000000e+00	6.130895e-21
-1.100000000000000e+00	6.130895e-21
-1.000000000000000e+00	6.130895e-21
-8.999999999999995e-01	6.130895e-21
-7.999999999999998e-01	6.130895e-21
-7.000000000000002e-01	6.130895e-21
-5.999999999999996e-01	6.130895e-21
-5.000000000000000e-01	6.130886e-21
-3.999999999999995e-01	6.130886e-21
-2.999999999999998e-01	6.130886e-21
-1.999999999999993e-01	6.130891e-21
-9.999999999999964e-02	6.130891e-21
0.000000000000000e+00	6.130890e-21
1.000000000000005e-01	6.130891e-21
2.000000000000002e-01	6.130886e-21
