V1	V(N001,Vd)
Step Information: Rap=1  (Step: 1/11)
-5.000000000000000e+00	3.000000e+01
-4.900000000000000e+00	3.000000e+01
-4.800000000000000e+00	3.000000e+01
-4.700000000000000e+00	3.000000e+01
-4.600000000000000e+00	3.000000e+01
-4.500000000000000e+00	3.000000e+01
-4.400000000000000e+00	3.000000e+01
-4.300000000000000e+00	3.000000e+01
-4.200000000000000e+00	3.000000e+01
-4.100000000000000e+00	3.000000e+01
-4.000000000000000e+00	3.000000e+01
-3.900000000000000e+00	3.000000e+01
-3.800000000000000e+00	3.000000e+01
-3.700000000000000e+00	3.000000e+01
-3.600000000000000e+00	3.000000e+01
-3.500000000000000e+00	3.000000e+01
-3.400000000000000e+00	3.000000e+01
-3.300000000000000e+00	3.000000e+01
-3.200000000000000e+00	3.000000e+01
-3.100000000000000e+00	3.000000e+01
-3.000000000000000e+00	3.000000e+01
-2.900000000000000e+00	3.000000e+01
-2.800000000000000e+00	3.000000e+01
-2.700000000000000e+00	3.000000e+01
-2.600000000000000e+00	3.000000e+01
-2.500000000000000e+00	3.000000e+01
-2.400000000000000e+00	3.000000e+01
-2.300000000000000e+00	3.000000e+01
-2.200000000000000e+00	3.000000e+01
-2.100000000000000e+00	3.000000e+01
-2.000000000000000e+00	3.000000e+01
-1.900000000000000e+00	3.000000e+01
-1.800000000000000e+00	3.000000e+01
-1.700000000000000e+00	3.000000e+01
-1.600000000000000e+00	3.000000e+01
-1.500000000000000e+00	3.000000e+01
-1.400000000000000e+00	3.000000e+01
-1.300000000000000e+00	3.000000e+01
-1.200000000000000e+00	3.000000e+01
-1.100000000000000e+00	3.000000e+01
-1.000000000000000e+00	3.000000e+01
-8.999999999999995e-01	3.000000e+01
-7.999999999999998e-01	3.000000e+01
-7.000000000000002e-01	3.000000e+01
-5.999999999999996e-01	3.000000e+01
-5.000000000000000e-01	3.000000e+01
-3.999999999999995e-01	3.000000e+01
-2.999999999999998e-01	3.000000e+01
-1.999999999999993e-01	3.000000e+01
-9.999999999999964e-02	3.000000e+01
0.000000000000000e+00	3.000000e+01
1.000000000000005e-01	3.000000e+01
2.000000000000002e-01	3.000000e+01
3.000000000000007e-01	3.000000e+01
4.000000000000004e-01	3.000000e+01
5.000000000000000e-01	3.000000e+01
6.000000000000005e-01	3.000000e+01
7.000000000000002e-01	3.000000e+01
8.000000000000007e-01	3.000000e+01
9.000000000000004e-01	3.000000e+01
1.000000000000000e+00	3.000000e+01
1.100000000000001e+00	3.000000e+01
1.200000000000000e+00	3.000000e+01
1.300000000000001e+00	3.000000e+01
1.400000000000000e+00	3.000000e+01
1.500000000000000e+00	3.000000e+01
1.600000000000001e+00	3.000000e+01
1.700000000000000e+00	2.999997e+01
1.800000000000001e+00	2.999976e+01
1.900000000000000e+00	2.999824e+01
2.000000000000000e+00	2.998738e+01
2.100000000000001e+00	2.991407e+01
2.200000000000000e+00	2.948396e+01
2.300000000000001e+00	2.761898e+01
2.400000000000000e+00	2.267159e+01
2.500000000000000e+00	1.510628e+01
2.600000000000001e+00	7.540407e+00
2.700000000000000e+00	1.606134e+00
2.800000000000001e+00	2.834015e-01
2.900000000000000e+00	2.248116e-01
3.000000000000000e+00	1.928825e-01
3.100000000000000e+00	1.718407e-01
3.200000000000001e+00	1.566544e-01
3.300000000000001e+00	1.451206e-01
3.400000000000000e+00	1.359959e-01
3.500000000000000e+00	1.285782e-01
3.600000000000000e+00	1.224194e-01
3.700000000000001e+00	1.172142e-01
3.800000000000001e+00	1.127567e-01
3.900000000000000e+00	1.088924e-01
4.000000000000000e+00	1.055069e-01
